plate,mjd,fiberid,z,zErr,zWarning,class,bestObjID,objType,run,rerun,camCol,field,obj,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
987,52523,179,0.484667,1.659804E-4,0,GALAXY,1237663457777681930,GALAXY,4187,301,4,82,1546,24.572672,23.073238,21.390921,20.420961,19.84231,20.780018,21.988735,20.142288,19.203903,18.702162
986,52443,13,0.336228,6.636775E-5,0,GALAXY,1237663543141598020,GALAXY,4207,301,3,104,836,23.162144,21.422667,19.679592,19.129408,18.655533,21.478533,20.549839,18.679783,18.014448,17.640093
1522,52932,280,-2.168412E-4,6.981251E-6,0,STAR,1237663457777680669,NONLEGACY,4187,301,4,82,285,18.330704,16.407492,15.731521,15.528384,15.425995,18.362968,16.482161,15.811769,15.599252,15.500545
1522,52932,277,-9.697899E-5,1.882764E-5,0,STAR,1237663457777681105,NONLEGACY,4187,301,4,82,721,20.398266,18.993004,18.496647,18.288631,18.340498,20.343185,18.958807,18.317966,18.009558,17.798183
1112,53180,40,-3.126964E-6,4.090161E-5,0,STAR,1237663457777681257,NONLEGACY,4187,301,4,82,873,23.049013,20.880869,19.48173,18.129595,17.456284,23.264111,21.006142,19.565193,18.25165,17.569904
987,52523,173,0.06149,1.096701E-5,0,GALAXY,1237663543141597964,GALAXY,4207,301,3,104,780,21.642946,20.074036,19.333834,18.953817,18.447975,19.405659,18.178637,17.463343,17.020933,16.776302
1026,52558,36,0.219162,8.143256E-6,0,GALAXY,1237663457777680922,NONLEGACY,4187,301,4,82,538,21.097126,20.229282,19.798912,19.602037,19.340464,20.443611,19.649113,19.055799,18.762411,18.687565
987,52523,213,0.232714,4.512566E-5,0,GALAXY,1237663457777681191,GALAXY,4187,301,4,82,807,22.936031,20.762779,19.491776,18.967873,18.457853,20.054724,19.033819,17.707214,17.163439,16.779385
1026,52558,37,0.167315,9.270888E-6,0,GALAXY,1237663457777681193,NONLEGACY,4187,301,4,82,809,21.809549,20.80792,20.304438,19.975248,19.606098,19.865757,19.014431,18.375532,18.004227,17.657894
1027,52557,219,0.130623,5.973759E-6,0,GALAXY,1237663457777746471,NONLEGACY,4187,301,4,83,551,21.621271,20.501867,20.147991,19.928104,19.631285,20.262264,18.870253,18.334982,18.070921,17.858194
1523,52937,39,1.820262E-4,1.48781E-5,0,STAR,1237663543141597718,NONLEGACY,4207,301,3,104,534,22.491619,19.819508,18.682919,18.211775,17.94627,22.755163,19.871492,18.757475,18.330694,18.081961
1026,52558,31,0.084852,1.226571E-5,0,GALAXY,1237663543141598107,NONLEGACY,4207,301,3,104,923,22.277872,21.039888,20.67733,20.456833,20.07057,20.139004,18.818354,18.487581,18.25124,18.327648
986,52443,8,0.352338,1.149317E-4,0,GALAXY,1237663543141598722,GALAXY,4207,301,3,104,1538,25.320404,22.317739,20.563726,19.855247,19.269569,26.041737,20.438272,19.077234,18.537245,18.21419
1522,52932,232,1.538036E-5,4.026137E-5,0,STAR,1237663543141663121,NONLEGACY,4207,301,3,105,401,24.343538,21.118469,19.691036,19.006598,18.524048,24.579275,21.256084,19.794546,19.061136,18.731411
1112,53180,37,2.642307E-5,1.224395E-5,0,STAR,1237663457777680833,NONLEGACY,4187,301,4,82,449,20.003412,17.686272,16.647032,16.274906,16.057093,20.066736,17.743784,16.730459,16.347761,16.140881
986,52443,14,0.033224,1.420429E-5,0,GALAXY,1237663457777680857,GALAXY,4187,301,4,82,473,20.62089,18.61758,17.822102,17.364351,16.829172,17.55378,15.846725,15.074057,14.622042,14.369099
987,52523,172,0.16738,3.173221E-5,0,GALAXY,1237663457777681066,GALAXY,4187,301,4,82,682,21.766058,19.865128,18.78714,18.338902,17.854517,20.535088,18.851086,17.710297,17.248104,16.905476
1027,52557,218,0.091927,6.525346E-6,0,GALAXY,1237663457777681072,NONLEGACY,4187,301,4,82,688,21.541969,20.053671,19.556292,19.199535,18.83135,20.09486,18.815708,18.21867,17.784672,17.68
1026,52558,35,0.231078,6.871748E-5,0,GALAXY,1237663457777681466,NONLEGACY,4187,301,4,82,1082,23.079241,21.565454,20.452406,20.038343,19.613892,24.631342,20.727415,19.393267,18.994007,18.672792
1522,52932,439,-5.204164E-5,1.865902E-5,0,STAR,1237663457777746419,NONLEGACY,4187,301,4,83,499,22.325418,20.030022,18.828499,18.268391,17.872307,22.549604,20.095716,18.900061,18.336168,18.001915
1026,52558,639,0.086366,6.334201E-6,0,GALAXY,1237663457777746457,NONLEGACY,4187,301,4,83,537,21.901497,20.544374,20.336372,20.136074,19.857317,19.330259,18.636475,18.219801,17.995594,17.734709
1027,52557,215,0.159603,1.373261E-5,0,GALAXY,1237663457777746503,NONLEGACY,4187,301,4,83,583,21.572479,20.14189,19.389875,18.962286,18.509197,20.22468,18.83337,17.972357,17.55685,17.29958
1026,52558,39,0.118501,9.276011E-6,0,GALAXY,1237663457777746507,NONLEGACY,4187,301,4,83,587,21.274403,20.121843,19.86314,19.56554,19.169632,20.582829,19.337896,18.873739,18.54464,18.283678
986,52443,12,7.715735E-5,1.042431E-5,0,STAR,1237663543141532259,GALAXY,4207,301,3,103,611,20.812397,18.870977,17.906311,17.470348,17.24222,19.08901,17.746431,17.075535,16.748659,16.50131
1522,52932,275,1.439187E-4,2.208674E-5,0,STAR,1237663543141597611,NONLEGACY,4207,301,3,104,427,22.012667,19.989155,19.108578,18.764654,18.631784,21.855795,20.068804,19.206728,18.85364,18.771215
987,52523,210,0.086046,1.86183E-5,0,GALAXY,1237663543141597621,GALAXY,4207,301,3,104,437,20.792358,18.809772,17.996733,17.658361,17.267693,19.244614,17.509861,16.556732,16.119205,15.749068
987,52523,166,0.211723,4.97159E-5,0,GALAXY,1237663543141597895,GALAXY,4207,301,3,104,711,22.429447,20.404388,19.216387,18.831242,18.373728,21.009125,19.183599,17.935028,17.421392,16.9606
1522,52932,271,0.18853,1.085326E-5,0,GALAXY,1237663543141598167,NONLEGACY,4207,301,3,104,983,21.924717,21.067778,20.700556,20.566385,20.24926,20.530371,19.833292,19.361967,19.023581,18.718544
986,52443,19,0.484057,1.263727E-4,0,GALAXY,1237663543141598285,GALAXY,4207,301,3,104,1101,23.665922,22.455791,20.715889,19.995239,19.476364,22.274569,21.640804,19.68931,18.718344,18.40675
1522,52932,239,-1.563322E-4,2.780366E-5,0,STAR,1237663543141663539,NONLEGACY,4207,301,3,105,819,22.280481,20.450567,19.582598,19.270538,19.101667,22.755087,20.539505,19.634777,19.305462,19.192011
986,52443,7,0.115367,1.897664E-5,0,GALAXY,1237663457240810041,GALAXY,4187,301,3,82,569,20.799679,18.781246,18.00849,17.66235,17.191801,19.478218,17.574203,16.576969,16.179653,15.879813
986,52443,614,1.567399,4.512157E-4,0,QSO,1237663457777615532,QSO,4187,301,4,81,684,19.372581,18.879974,18.725119,18.4879,18.43594,19.43425,18.867702,18.756952,18.506041,18.412283
987,52523,218,0.092462,1.835639E-5,0,GALAXY,1237663457777615542,GALAXY,4187,301,4,81,694,21.517731,19.824039,19.198212,18.825695,18.403435,20.15513,18.55061,17.797192,17.402866,17.151566
1027,52557,210,0.30864,4.178413E-5,0,GALAXY,1237663457777680420,NONLEGACY,4187,301,4,82,36,22.742861,21.328329,19.84791,19.31789,18.825241,22.42214,19.89345,18.20883,17.601877,17.382427
