plate,mjd,fiberid,z,zErr,zWarning,class,bestObjID,objType,run,rerun,camCol,field,obj,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
401,51788,231,0.124888,2.111066E-5,0,GALAXY,1237663784208367723,GALAXY,4263,301,4,283,107,21.113615,19.817415,19.215954,18.582623,18.13023,19.545565,18.19631,17.39797,16.98028,16.691593
1078,52643,14,1.202627E-4,5.88667E-5,0,STAR,1237666407916503372,NONLEGACY,4874,301,3,588,332,22.855364,20.877937,19.421131,18.514183,18.048098,23.643398,20.981348,19.457813,18.589693,18.086048
1906,53293,395,4.404029E-4,8.131926E-6,0,STAR,1237663784208302175,NONLEGACY,4263,301,4,282,95,19.512024,17.976997,17.355322,17.13545,17.022705,19.626865,18.076921,17.438583,17.216871,17.134609
698,52203,517,0.423063,1.296313E-4,0,GALAXY,1237663784208302176,NONLEGACY,4263,301,4,282,96,24.835718,22.170656,20.541656,19.88163,19.336086,21.568689,20.811201,19.149479,18.486904,18.499884
698,52203,514,-5.265568E-4,5.39811E-5,0,STAR,1237663784208302261,NONLEGACY,4263,301,4,282,181,20.677773,19.493937,19.48885,19.561954,19.788967,20.712551,19.565319,19.561193,19.612431,19.810232
698,52203,157,0.84223,2.959909E-4,0,QSO,1237666407916437635,NONLEGACY,4874,301,3,587,131,19.912731,19.734674,19.645765,19.849806,19.630018,19.93203,19.752733,19.684204,19.865465,19.340481
1907,53315,341,1.788829E-5,2.38747E-5,0,STAR,1237663784208302255,NONLEGACY,4263,301,4,282,175,21.253969,19.888655,19.310284,19.061291,18.980782,21.46632,19.991325,19.38068,19.16749,19.05228
400,51820,37,1.176388E-4,1.655131E-5,0,STAR,1237663784208302319,QSO,4263,301,4,282,239,24.991673,21.985689,20.291693,18.515837,17.495724,24.648655,22.026743,20.457787,18.616583,17.634418
1502,53741,611,0.999635,0.896914,0,QSO,1237663784208302939,NONLEGACY,4263,301,4,282,859,23.454666,23.427357,22.400078,21.312927,21.087669,23.805027,23.900848,22.235907,20.811205,21.493937
1907,53315,309,-1.565606E-4,4.499364E-5,0,STAR,1237666407916437622,NONLEGACY,4874,301,3,587,118,20.738087,19.936628,19.545687,19.369368,19.359856,20.89912,19.973751,19.618826,19.380196,19.510677
1077,52644,280,0.997423,5.963221E-4,0,QSO,1237666407916503315,NONLEGACY,4874,301,3,588,275,20.385307,20.195587,19.84157,19.950855,20.010571,20.332516,20.205965,19.8915,19.9396,19.997644
401,51788,200,0.161584,2.919353E-5,0,GALAXY,1237666407916503349,GALAXY,4874,301,3,588,309,22.309967,20.440956,19.512011,19.141191,18.770832,19.076435,17.600224,16.846294,16.546598,16.301918
1078,52643,18,-1.848675E-5,2.22128E-5,0,STAR,1237666407916503374,NONLEGACY,4874,301,3,588,334,25.355518,20.074606,18.590462,16.970961,16.08375,25.028542,20.250553,18.673138,17.045643,16.165588
1077,52644,277,-6.463053E-5,4.611382E-5,0,STAR,1237666407916503698,NONLEGACY,4874,301,3,588,658,24.137609,22.279192,20.838614,19.378801,18.599085,24.594545,22.45137,20.947573,19.474258,18.679218
1907,53315,392,-5.669062E-4,1.533669E-5,0,STAR,1237663784208302275,NONLEGACY,4263,301,4,282,195,21.085405,19.530766,18.99725,18.788778,18.662144,21.076351,19.641088,19.069538,18.849283,18.716562
698,52203,518,0.059401,6.480303E-6,0,GALAXY,1237663784208302342,NONLEGACY,4263,301,4,282,262,22.348566,20.925619,21.002766,20.876762,20.529053,19.798391,17.972588,17.601788,17.421911,17.62081
401,51788,278,0.05662,1.338203E-5,0,GALAXY,1237666407916437595,GALAXY,4874,301,3,587,91,19.970564,18.656973,18.138481,17.938389,17.609325,17.274832,15.887614,15.274473,14.912966,14.681113
1078,52643,15,0.056745,8.679466E-6,0,GALAXY,1237666407916437596,NONLEGACY,4874,301,3,587,92,20.777767,20.36017,20.356503,23.203121,20.425127,19.1933,18.456902,18.213932,18.115421,18.283493
698,52203,158,0.19703,2.540201E-5,0,QSO,1237666407916437618,NONLEGACY,4874,301,3,587,114,20.987301,19.99538,18.750845,18.507702,18.456879,20.460089,19.285921,18.009455,17.647097,17.554049
1502,53741,19,0.059319,8.632141E-6,0,GALAXY,1237666407916437620,NONLEGACY,4874,301,3,587,116,20.887928,19.749092,19.229179,18.983698,18.689657,20.117636,18.887072,18.214367,17.853075,17.59948
401,51788,236,0.150116,3.212224E-5,0,GALAXY,1237666407916437637,GALAXY,4874,301,3,587,133,21.460463,19.611406,18.60182,18.287222,17.896811,20.415966,18.750113,17.667339,17.257303,16.904705
1906,53293,264,-4.900801E-5,9.577871E-6,0,STAR,1237666407916503281,NONLEGACY,4874,301,3,588,241,19.75733,17.238194,15.917523,15.261627,14.907086,19.718678,17.288994,15.95766,15.310751,14.955426
401,51788,235,0.124913,2.582106E-5,0,GALAXY,1237666407916503307,GALAXY,4874,301,3,588,267,20.615669,18.736263,17.860935,17.511904,17.192581,19.481514,17.900822,16.978737,16.567934,16.265757
401,51788,237,0.163104,1.342456E-5,0,GALAXY,1237666407916503322,GALAXY,4874,301,3,588,282,21.623055,20.086216,19.325506,19.001644,18.659386,19.218204,18.055397,17.326641,16.948881,16.651497
401,51788,233,0.168391,4.1082E-5,0,GALAXY,1237666407916503330,GALAXY,4874,301,3,588,290,22.055454,20.089741,18.980818,18.530659,18.179586,20.955263,18.799101,17.650629,17.154507,16.800119
400,51820,39,0.149956,3.696968E-5,0,GALAXY,1237666407916503334,GALAXY,4874,301,3,588,294,22.158539,19.713835,18.65802,18.267221,17.940905,20.381359,18.433289,17.225018,16.732857,16.518551
401,51788,239,0.14922,5.492893E-5,0,GALAXY,1237666407916503335,GALAXY,4874,301,3,588,295,22.338352,20.314344,19.262028,18.942732,18.469164,24.690666,18.997969,17.765753,17.364246,17.10482
698,52203,113,0.24371,4.942518E-5,0,GALAXY,1237666407916503378,NONLEGACY,4874,301,3,588,338,23.078722,20.475788,19.157049,18.723272,18.358849,19.728348,18.909988,17.66853,17.218977,16.898724
401,51788,181,0.079581,1.728824E-5,0,GALAXY,1237666407916568702,GALAXY,4874,301,3,589,126,20.608301,18.707151,17.974022,17.610901,17.229889,19.256792,17.333178,16.418135,15.99692,15.693892
1907,53315,279,-2.355599E-5,1.350629E-5,0,STAR,1237666407916568930,NONLEGACY,4874,301,3,589,354,22.332493,20.311485,19.382141,19.08902,18.915848,22.029182,20.356838,19.472738,19.171473,18.876358
401,51788,392,0.07539,1.469778E-5,0,GALAXY,1237657071158034622,GALAXY,2700,301,4,32,190,22.29813,20.815849,19.816507,19.233746,18.598177,19.209301,17.846539,17.10149,16.639681,16.233252
401,51788,381,0.144655,9.311263E-6,0,GALAXY,1237657071158034651,GALAXY,2700,301,4,32,219,21.484859,20.399431,19.823221,19.472942,19.116735,19.354849,18.200832,17.616772,17.2495,16.922752
401,51788,432,0.078445,1.133645E-5,0,GALAXY,1237657071158035152,GALAXY,2700,301,4,32,720,22.846087,21.118942,20.764259,20.576281,19.99024,18.821466,18.142195,17.790129,17.476971,17.335516
401,51788,238,-2.848989E-4,3.904046E-5,0,STAR,1237663783671496737,QSO,4263,301,3,283,33,21.007528,20.326281,19.364208,18.563068,18.089449,21.135582,20.468849,19.413734,18.680719,18.256937
401,51788,234,0.05717,8.52939E-6,0,GALAXY,1237663783671496909,GALAXY,4263,301,3,283,205,20.982983,19.553511,19.40048,18.823215,18.376215,18.29793,16.890306,16.432665,16.141014,15.952747
1502,53741,615,6.227872E-5,1.355156E-5,0,STAR,1237663784208236690,NONLEGACY,4263,301,4,281,146,21.859051,19.48098,18.135794,17.019674,16.48003,22.023611,19.600115,18.199892,17.121103,16.56839
1077,52644,388,-2.709986E-5,8.551646E-6,0,STAR,1237663784208302149,NONLEGACY,4263,301,4,282,69,17.706774,16.332603,15.839691,15.683074,15.615741,17.82762,16.424332,15.906055,15.745586,15.706427
1906,53293,384,4.969254E-6,8.366693E-6,0,STAR,1237663784208302203,NONLEGACY,4263,301,4,282,123,19.337114,16.814066,15.596875,15.094969,14.833202,19.421408,16.898266,15.646068,15.17662,14.942185
698,52203,520,0.078777,1.710018E-5,0,GALAXY,1237663784208302210,NONLEGACY,4263,301,4,282,130,20.615591,18.659866,17.979605,17.558422,17.018175,17.250805,15.996539,15.295278,14.92094,14.655414
1906,53293,389,-3.874074E-4,9.921314E-6,0,STAR,1237663784208302228,NONLEGACY,4263,301,4,282,148,21.494226,18.79117,17.427767,16.834579,16.438713,21.588671,18.90185,17.498259,16.888048,16.549875
1906,53293,392,-1.374022E-4,7.758792E-6,0,STAR,1237663784208302263,NONLEGACY,4263,301,4,282,183,19.96739,17.618954,16.551481,16.082277,15.824165,20.021236,17.717495,16.611332,16.160917,15.911427
1907,53315,359,-5.69853E-4,4.234483E-5,0,STAR,1237663784208302383,NONLEGACY,4263,301,4,282,303,21.800688,20.522821,19.99221,19.795691,19.674833,21.933058,20.624846,20.042166,19.882149,19.814241
698,52203,515,8.114395E-5,3.19439E-5,0,STAR,1237663784208302863,NONLEGACY,4263,301,4,282,783,24.916334,23.368393,21.479256,19.440424,18.275181,23.552465,23.521257,21.546494,19.443964,18.326456
1906,53293,400,-1.09514E-4,7.667717E-6,0,STAR,1237663784208367642,NONLEGACY,4263,301,4,283,26,19.07601,16.981684,16.145994,15.795205,15.597139,19.141439,17.07069,16.197348,15.878236,15.697441
