plate,mjd,fiberid,z,zErr,zWarning,class,bestObjID,objType,run,rerun,camCol,field,obj,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1103,52873,222,-2.505008E-4,1.429762E-5,0,STAR,1237657190894272780,NONLEGACY,2728,301,3,246,268,19.782135,18.396582,17.822502,17.624172,17.482849,19.894199,18.472933,17.892981,17.686077,17.561605
374,51791,640,1.430279,5.2335E-4,0,QSO,1237663479259529405,STAR_CATY_VAR,4192,301,4,189,189,19.550823,19.464764,19.343203,19.346159,19.464508,19.619127,19.518814,19.428064,19.403755,19.347744
374,51791,628,0.117815,3.133543E-5,0,GALAXY,1237663479259529302,GALAXY,4192,301,4,189,86,21.853226,19.975807,18.960579,18.510048,18.029476,22.020573,19.91139,18.665436,18.256378,17.777933
375,52140,400,0.230648,1.225574E-5,0,GALAXY,1237663479259529360,QSO,4192,301,4,189,144,19.328058,18.91876,18.554657,18.405308,18.516726,19.285378,18.847763,18.449379,18.267565,18.254248
1137,52971,237,-3.073181E-5,6.720505E-6,0,STAR,1237663543148150885,NONLEGACY,4207,301,3,204,101,19.19783,17.129171,16.306908,15.975365,15.830915,19.241426,17.19165,16.359915,16.067387,15.925081
1104,52912,31,1.219737E-4,2.51346E-5,0,STAR,1237663543148216596,NONLEGACY,4207,301,3,205,276,22.58326,20.400532,19.169224,18.662676,18.360798,22.526518,20.476004,19.23263,18.742651,18.490076
1104,52912,40,-1.475918E-4,2.012051E-5,0,STAR,1237663479259463874,NONLEGACY,4192,301,4,188,194,22.367756,19.98597,19.004543,18.683098,18.352791,22.406883,20.05793,19.065304,18.671389,18.484943
1035,52816,278,1.012489E-4,1.089741E-5,0,STAR,1237663543148150940,NONLEGACY,4207,301,3,204,156,21.651934,19.316273,18.145109,17.575586,17.338427,21.43062,19.265745,18.060923,17.410734,17.184681
1138,53228,231,-1.121253E-4,1.526365E-5,0,STAR,1237663543148150948,NONLEGACY,4207,301,3,204,164,20.279573,19.008297,18.374527,18.104605,18.022188,20.450392,19.062901,18.465813,18.194267,18.100857
374,51791,36,3.085098E-4,2.328198E-4,0,STAR,1237663543148150992,SERENDIPITY_BLUE,4207,301,3,204,208,20.042526,19.710756,19.892548,20.135983,20.320835,20.118908,19.727762,19.978521,20.235132,20.323078
1104,52912,38,0.339346,1.078964E-5,0,GALAXY,1237663543148151114,NONLEGACY,4207,301,3,204,330,21.407259,20.968138,20.480219,20.448393,19.978594,20.649014,20.310482,19.617413,19.595242,19.055218
1034,52813,37,0.214525,2.818126E-5,0,GALAXY,1237663543148151343,NONLEGACY,4207,301,3,204,559,23.163078,22.72051,21.908789,21.723833,21.492517,21.925213,21.116655,20.584715,20.273909,19.473763
