plate,mjd,fiberid,z,zErr,zWarning,class,bestObjID,objType,run,rerun,camCol,field,obj,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
380,51792,187,0.107631,2.665153E-5,0,GALAXY,1237666407899005042,GALAXY,4874,301,3,321,114,21.117275,19.332884,18.409357,18.045061,17.616974,20.169067,18.436659,17.454077,16.975887,16.640697
380,51792,195,0.110011,3.363098E-5,0,GALAXY,1237666407899005085,GALAXY,4874,301,3,321,157,21.637421,19.895638,18.992207,18.566227,18.139442,19.483007,18.244331,17.269037,16.745039,16.430758
380,51792,196,0.110351,2.294527E-5,0,GALAXY,1237663479263854771,GALAXY,4192,301,4,255,179,21.252108,19.149113,18.319153,17.848227,17.354858,19.017614,17.06424,16.041185,15.645253,15.322568
380,51792,192,0.045416,5.62821E-6,0,GALAXY,1237666407898939620,GALAXY,4874,301,3,320,228,19.699512,18.611092,18.229994,18.055126,17.716654,18.111399,16.874386,16.349346,16.058191,15.882737
380,51792,188,0.109378,2.108345E-5,0,GALAXY,1237666407898939640,GALAXY,4874,301,3,320,248,20.981098,19.374197,18.520681,18.142632,17.719269,18.867847,17.479492,16.698982,16.278275,15.995843
677,52606,174,-6.474972E-4,1.022322E-5,0,STAR,1237666407899004980,NONLEGACY,4874,301,3,321,52,17.547676,16.521313,16.152739,16.019859,15.975406,17.611832,16.572273,16.21954,16.082695,16.03698
677,52606,493,0.113326,3.773286E-5,0,GALAXY,1237663479263854772,NONLEGACY,4192,301,4,255,180,21.941637,19.965773,19.015341,18.58428,18.189203,20.517044,18.788038,17.635452,17.245308,17.096258
380,51792,200,0.109488,2.323217E-5,0,GALAXY,1237663479263920318,GALAXY,4192,301,4,256,190,21.553215,19.879408,19.098528,18.584084,18.153667,19.530584,18.277407,17.466316,17.024174,16.738813
380,51792,189,0.045518,7.026601E-6,0,GALAXY,1237666407898939602,GALAXY,4874,301,3,320,210,20.325928,19.273943,18.78093,18.541069,18.108877,18.315464,17.140146,16.551119,16.203896,15.934029
380,51792,190,1.968043,4.336692E-4,0,QSO,1237666407898939628,QSO,4874,301,3,320,236,19.372595,19.318264,19.203419,18.947504,18.666002,19.478252,19.336716,19.232973,19.019274,18.850504
380,51792,183,0.109424,2.771554E-5,0,GALAXY,1237666407898939638,GALAXY,4874,301,3,320,246,21.313522,19.608364,18.704014,18.360664,17.929493,19.968328,18.636026,17.688175,17.269522,16.941872
677,52606,199,1.421107,7.940829E-4,0,QSO,1237666407898939775,NONLEGACY,4874,301,3,320,383,20.463409,20.613911,20.343428,20.212427,20.00466,20.643686,20.666237,20.433226,20.265448,20.032558
380,51792,178,0.179789,3.183319E-5,0,GALAXY,1237666407899005099,GALAXY,4874,301,3,321,171,21.428686,19.731308,18.540874,18.075464,17.688763,20.001282,18.543638,17.23871,16.668352,16.416891
677,52606,165,0.179707,3.195645E-5,0,GALAXY,1237666407899005100,NONLEGACY,4874,301,3,321,172,22.221338,20.051712,18.855688,18.435053,17.974203,21.836655,18.576183,17.270161,16.798483,16.474966
677,52606,516,2.585809,4.068823E-4,0,QSO,1237663277384401069,NONLEGACY,4145,301,4,11,173,20.374725,19.785231,19.58387,19.473204,19.198837,20.372536,19.786686,19.582003,19.535385,19.179707
380,51792,175,1.096859E-4,1.534641E-4,0,STAR,1237663277384401733,STAR_RED_DWARF,4145,301,4,11,837,23.963577,24.163143,22.789988,20.698591,19.596905,23.504564,24.123169,23.095346,20.843298,19.421089
677,52606,470,0.153061,3.265951E-5,0,GALAXY,1237663479263854712,NONLEGACY,4192,301,4,255,120,22.073925,20.355223,19.334536,18.835079,18.36273,20.42713,18.958757,17.788675,17.342138,17.073711
380,51792,197,0.107793,6.663871E-6,0,GALAXY,1237663479263854713,GALAXY,4192,301,4,255,121,21.051836,19.96364,19.553877,19.132563,18.737535,19.36282,18.293772,17.786472,17.396545,17.439034
677,52606,465,0.108271,1.097034E-5,0,GALAXY,1237663479263854726,NONLEGACY,4192,301,4,255,134,21.446529,19.72752,18.945347,18.477299,18.067501,19.725985,18.39061,17.511051,17.155855,16.945616
677,52606,475,0.109858,2.319413E-5,0,GALAXY,1237663479263854740,NONLEGACY,4192,301,4,255,148,21.1938,19.420912,18.611006,18.222044,17.789318,20.369337,18.809019,17.876123,17.490244,17.177984
380,51792,199,0.10925,3.815203E-5,0,GALAXY,1237663479263854796,GALAXY,4192,301,4,255,204,21.960436,20.063793,19.169403,18.715332,18.250679,19.924183,18.573645,17.64937,17.29306,16.959059
380,51792,191,0.109447,8.468196E-6,0,GALAXY,1237663479263920290,GALAXY,4192,301,4,256,162,21.052114,19.5769,18.890837,18.285894,17.831768,20.036142,18.511667,17.628351,17.122456,16.812544
380,51792,176,0.110427,9.348107E-6,0,GALAXY,1237663479263920343,GALAXY,4192,301,4,256,215,21.649149,20.327728,19.92305,19.484362,19.122709,18.791355,17.432646,16.897011,16.5665,16.236883
677,52606,487,0.706386,2.225832E-4,0,QSO,1237663479263920423,NONLEGACY,4192,301,4,256,295,20.796314,20.205103,20.021065,20.036686,19.850082,20.75071,20.27523,20.061531,20.034056,19.935387
677,52606,497,0.294827,1.392075E-5,0,GALAXY,1237663479263920428,NONLEGACY,4192,301,4,256,300,21.694588,20.887867,20.325029,19.972441,19.465315,20.720089,19.543509,18.779278,18.635693,18.649084
677,52606,198,2.177512,5.78854E-4,0,QSO,1237666407898939409,NONLEGACY,4874,301,3,320,17,20.189638,19.779453,19.706747,19.619444,19.382616,20.301203,19.81735,19.783442,19.656942,19.31163
677,52606,183,1.991716,9.744369E-4,0,QSO,1237666407898939767,NONLEGACY,4874,301,3,320,375,21.115822,20.881384,20.556421,20.259176,20.109608,21.217419,20.842758,20.595499,20.310101,20.583141
677,52606,161,1.885538,8.704849E-4,0,QSO,1237666407899005120,NONLEGACY,4874,301,3,321,192,20.41119,20.193779,20.138376,19.787354,19.836489,20.466135,20.229332,20.228088,19.854389,20.032059
380,51792,180,1.965449,4.351868E-4,0,QSO,1237666407899005151,QSO,4874,301,3,321,223,19.248678,19.348442,19.204859,19.006826,18.774841,19.29661,19.383215,19.245756,19.036436,18.863174
380,51792,179,-4.513274E-5,1.773527E-5,0,STAR,1237666407899070688,STAR_SUB_DWARF,4874,301,3,322,224,23.884737,20.997126,19.428356,18.081806,17.327301,25.01296,21.069836,19.503624,18.146318,17.413124
380,51792,171,0.109623,2.554389E-5,0,GALAXY,1237663277384401106,GALAXY,4145,301,4,11,210,21.172411,19.222105,18.252321,17.799994,17.417772,19.962204,18.178999,17.153727,16.722935,16.337509
677,52606,517,0.156151,4.289244E-5,0,GALAXY,1237663277384401138,NONLEGACY,4145,301,4,11,242,22.98267,20.922731,19.859457,19.381927,19.087378,20.850422,18.865345,17.840498,17.390522,17.117247
