plate,mjd,fiberid,z,zErr,zWarning,class,bestObjID,objType,run,rerun,camCol,field,obj,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1024,52826,173,0.070547,7.174554E-6,0,GALAXY,1237663457775518826,NONLEGACY,4187,301,4,49,1130,21.614458,20.509489,20.259827,20.001564,19.786089,20.013664,18.802734,18.356773,18.035311,18.664255
984,52442,141,-4.951112E-4,1.403657E-5,0,STAR,1237663543139434605,QSO,4207,301,3,71,109,18.809452,17.64953,17.535719,17.483616,17.462353,18.829681,17.693642,17.566881,17.555759,17.558924
984,52442,152,-1.548431E-5,1.220866E-5,0,STAR,1237663457775518311,QSO,4187,301,4,49,615,22.169088,19.853407,18.377655,17.356081,16.764866,22.175398,19.957989,18.387619,17.337671,16.826984
1024,52826,171,0.070274,7.441221E-6,0,GALAXY,1237663457775518845,NONLEGACY,4187,301,4,49,1149,22.413067,20.839458,20.641973,20.422453,20.248682,20.552361,19.366867,18.961895,18.715065,19.585268
984,52442,142,-1.613686E-4,2.037128E-5,0,STAR,1237663543139435083,GALAXY,4207,301,3,71,587,22.111643,19.5993,18.105902,16.641087,15.836999,22.53591,19.79994,18.185587,16.689913,15.957458
1024,52826,485,-3.493645E-4,3.345077E-5,0,STAR,1237663457775453094,NONLEGACY,4187,301,4,48,934,20.736668,19.620657,19.276852,19.077044,18.972534,20.790419,19.573557,19.141562,18.950329,18.789555
984,52442,157,0.805835,1.677475E-4,0,QSO,1237663457775518468,QSO,4187,301,4,49,772,19.920586,19.51136,19.295181,19.295425,19.044146,19.937618,19.570827,19.382311,19.367731,19.262173
1024,52826,499,0.057509,6.405796E-6,0,GALAXY,1237663457775518567,NONLEGACY,4187,301,4,49,871,21.336967,20.123701,19.831923,19.513052,19.436222,20.849899,19.710766,19.263134,18.938313,18.94718
1114,53179,491,0.449206,1.736601E-5,0,GALAXY,1237663457775518813,NONLEGACY,4187,301,4,49,1117,21.712744,21.099586,20.397482,20.06646,19.620775,21.378216,20.775331,19.87351,19.552015,19.369211
984,52442,151,0.143194,7.837271E-6,0,GALAXY,1237663457775583803,GALAXY,4187,301,4,50,571,20.848736,19.885036,19.509003,19.180923,18.867889,19.350832,18.463217,17.944258,17.556173,17.612186
984,52442,175,0.057514,1.509445E-5,0,GALAXY,1237663543139369819,GALAXY,4207,301,3,70,859,21.376486,19.554964,18.86598,18.442806,18.128736,20.146988,18.354376,17.516819,17.098364,16.850597
1024,52826,161,0.168001,4.316204E-6,0,GALAXY,1237663543139435057,NONLEGACY,4207,301,3,71,561,21.465559,20.285133,19.7985,19.463234,19.236464,20.47434,19.44047,18.837715,18.466749,18.288471
1115,52914,637,1.767465,4.692445E-4,0,QSO,1237663457775452934,NONLEGACY,4187,301,4,48,774,19.974304,19.900295,19.925009,19.600042,19.628052,20.122932,19.970957,20.031462,19.71867,19.670101
1114,53179,179,1.261266E-4,1.40033E-5,0,STAR,1237663457775453040,NONLEGACY,4187,301,4,48,880,22.166471,19.585146,18.582512,18.16144,17.966534,22.631195,19.668785,18.636086,18.264635,18.062008
983,52443,628,-5.025832E-4,1.69526E-5,0,STAR,1237663457775453161,QSO,4187,301,4,48,1001,22.771566,20.391455,18.621204,17.861263,17.390678,22.18487,20.446095,18.707937,17.939814,17.468222
1114,53179,492,-2.02024E-5,1.996361E-5,0,STAR,1237663457775453216,NONLEGACY,4187,301,4,48,1056,25.068596,20.48374,19.121725,18.340719,17.855091,26.007837,20.600136,19.202997,18.420208,17.913961
1114,53179,499,-1.383161E-4,8.135648E-6,0,STAR,1237663457775517919,NONLEGACY,4187,301,4,49,223,19.918524,18.076553,17.348694,17.101589,16.959837,20.084688,18.156315,17.433943,17.18751,17.0602
