plate,mjd,fiberid,z,zErr,zWarning,class,bestObjID,objType,run,rerun,camCol,field,obj,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
680,52200,278,-9.306648E-5,2.66768E-5,0,STAR,1237657190900826399,NONLEGACY,2728,301,3,346,287,24.998491,22.266005,21.119585,18.989452,17.830038,25.516869,22.328224,21.11978,19.077755,17.901932
1095,52521,316,2.851175E-5,2.5871E-5,0,STAR,1237657190900826364,NONLEGACY,2728,301,3,346,252,24.017879,20.945322,19.44705,18.653488,18.161314,24.11101,20.961468,19.506239,18.667608,18.213972
383,51818,316,0.068404,1.675449E-5,0,GALAXY,1237657190900826253,GALAXY,2728,301,3,346,141,20.243952,18.298027,17.43771,17.03335,16.634941,19.019646,17.149214,16.208965,15.773529,15.419024
679,52177,36,0.07665,6.262575E-6,0,GALAXY,1237657190900826319,NONLEGACY,2728,301,3,346,207,20.784866,20.402719,20.351068,20.008625,20.188828,20.830582,20.177612,20.045486,19.684626,19.806246
679,52177,39,0.190204,3.805694E-5,0,GALAXY,1237657190900826324,NONLEGACY,2728,301,3,346,212,22.142384,20.003948,18.806126,18.363853,17.978861,21.524059,19.153553,17.884918,17.401445,17.162041
679,52177,634,1.947949,7.651281E-4,0,QSO,1237663784193032409,NONLEGACY,4263,301,4,49,217,19.374189,19.344595,19.306744,19.16996,19.130066,19.488171,19.420992,19.412888,19.254965,19.262136
1096,52974,67,6.554106E-6,7.879312E-6,0,STAR,1237657190900826328,NONLEGACY,2728,301,3,346,216,21.543797,18.948071,17.452278,16.593338,16.139437,21.405226,19.006365,17.513695,16.674911,16.212975
382,51816,65,0.118068,2.32264E-5,0,GALAXY,1237657190900826333,QA,2728,301,3,346,221,21.095961,19.10745,18.110069,17.665966,17.249958,18.920521,17.400816,16.329161,15.868237,15.479903
680,52200,389,0.186889,4.129012E-5,0,GALAXY,1237663784192966725,NONLEGACY,4263,301,4,48,69,22.200933,20.124659,18.894386,18.406393,17.995956,21.883495,19.069956,17.759684,17.264111,16.947886
382,51816,78,0.184898,3.89095E-5,0,GALAXY,1237663784192966908,SERENDIPITY_FIRST,4263,301,4,48,252,21.915655,20.444313,19.42194,18.944799,18.49822,20.993639,19.402746,18.291777,17.815233,17.540714
