plate,mjd,fiberid,z,zErr,zWarning,class,bestObjID,objType,run,rerun,camCol,field,obj,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
3142,54735,437,-5.930561E-4,1.500624E-5,0,STAR,1237666408439480637,NONLEGACY,4874,301,4,376,317,19.020111,18.175663,17.851582,17.755592,17.72057,19.063936,18.21282,17.90683,17.798378,17.781763
683,52524,497,-1.159048E-3,8.454601E-6,0,STAR,1237666408440987683,NONLEGACY,4874,301,4,399,35,17.81768,16.734808,16.864969,17.015745,17.113295,17.860802,16.761864,16.921665,17.063017,17.161325
1486,52993,92,-1.038033E-5,3.875521E-5,0,STAR,1237656906352230697,NONLEGACY,2662,301,1,239,297,23.609356,21.852333,20.671238,19.240711,18.297218,21.87557,21.740679,20.30232,19.073679,18.106617
1486,52993,93,0.547278,1.276248E-4,0,GALAXY,1237656906352296460,NONLEGACY,2662,301,1,240,524,25.265034,22.521444,21.103508,19.953403,19.359257,21.974787,21.534662,19.940735,18.815111,18.268621
1487,52964,620,0.062148,1.683222E-5,0,GALAXY,1237656909037764862,NONLEGACY,2662,301,6,257,254,20.700336,18.893787,17.950569,17.504101,17.188244,20.270891,18.218584,17.327751,16.910065,16.543234
683,52524,412,0.061201,1.607343E-5,0,GALAXY,1237656909037764865,NONLEGACY,2662,301,6,257,257,20.269926,18.26231,17.284836,16.789877,16.515852,17.923979,16.165424,15.232186,14.816499,14.562678
1093,52591,601,0.223154,6.487461E-5,0,GALAXY,1237656909037830241,NONLEGACY,2662,301,6,258,97,23.008299,20.899784,19.457697,18.887472,18.561096,24.164955,19.575306,18.067694,17.504391,17.341175
385,51877,604,0.224704,2.678675E-5,0,GALAXY,1237656909037830320,GALAXY,2662,301,6,258,176,21.937237,20.341059,19.072802,18.544065,18.197298,20.621138,18.920904,17.688421,17.175167,16.800716
385,51877,615,0.059336,1.888269E-5,0,GALAXY,1237656909037830322,GALAXY,2662,301,6,258,178,21.005024,19.2006,18.325718,17.961916,17.70434,18.950401,17.270498,16.502224,16.112898,15.906549
1487,52964,25,-1.058442E-5,1.035185E-5,0,STAR,1237657190366838906,NONLEGACY,2728,301,2,390,122,20.528057,18.548559,17.621801,17.246122,17.011778,20.619562,18.607239,17.687984,17.301371,17.075981
385,51877,26,-4.238003E-6,7.244189E-5,0,STAR,1237657190366905095,STAR_RED_DWARF,2728,301,2,391,775,23.342596,24.219231,23.097523,20.950586,19.201214,22.801468,25.027731,23.445246,21.045776,19.412668
384,51821,475,0.124718,3.119298E-5,0,GALAXY,1237657190902268083,GALAXY,2728,301,3,368,179,21.981745,20.129545,19.159386,18.820786,18.324564,19.569798,18.201967,17.358019,16.909307,16.610579
385,51877,39,3.26513E-5,1.202635E-5,0,STAR,1237657190903775292,GALAXY,2728,301,3,391,60,19.394293,16.692457,15.322704,14.708125,14.382318,19.37536,16.799967,15.388561,14.758951,14.47878
1093,52591,40,-6.516369E-5,1.538994E-5,0,STAR,1237657190903775373,NONLEGACY,2728,301,3,391,141,21.38357,19.229612,18.249151,17.847807,17.601919,21.298668,19.271303,18.303236,17.910778,17.691824
1538,52937,393,0.470904,6.093193E-5,0,GALAXY,1237657191977452370,NONLEGACY,2728,301,5,390,850,23.385975,21.822416,20.271769,19.569422,19.141514,24.457376,20.794214,19.327559,18.556885,18.1663
682,52525,249,0.05798,8.51734E-6,0,GALAXY,1237663275777523905,NONLEGACY,4145,301,1,68,193,21.299967,20.043844,19.429794,18.979246,18.608213,18.565796,17.029007,16.360756,16.049793,15.789086
1093,52591,2,-1.133516E-4,1.300246E-5,0,STAR,1237663275778703378,NONLEGACY,4145,301,1,86,18,18.686979,17.581659,17.158554,16.965338,16.930513,18.781078,17.624451,17.19453,17.022715,16.966963
1094,52524,482,-6.361538E-5,9.937366E-6,0,STAR,1237663277924811061,NONLEGACY,4145,301,5,65,309,20.738802,18.087622,16.63859,15.741406,15.218831,20.783419,18.168959,16.701448,15.795261,15.296576
3142,54735,411,-6.127115E-4,9.250825E-6,0,STAR,1237663278461812772,NONLEGACY,4145,301,6,67,36,18.251657,17.01252,16.437754,16.178766,16.024967,18.314976,17.052498,16.490753,16.241579,16.105701
