plate,mjd,fiberid,z,zErr,zWarning,class,bestObjID,objType,run,rerun,camCol,field,obj,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1474,52933,519,0.358734,9.674998E-5,0,GALAXY,1237663543145988586,NONLEGACY,4207,301,3,171,490,22.648195,21.741804,20.069969,19.552975,19.001743,21.794672,20.680029,18.942141,18.313732,17.959429
372,52173,499,-2.963791E-4,3.926084E-5,0,STAR,1237663543145988893,QSO,4207,301,3,171,797,24.80732,21.660257,20.171497,18.826324,18.09421,24.663181,21.776905,20.281775,18.908602,18.232996
1474,52933,518,-1.220993E-4,9.248484E-6,0,STAR,1237663479257301546,NONLEGACY,4192,301,4,155,554,20.169525,17.375717,16.049351,15.530657,15.265433,20.109602,17.446957,16.124786,15.605462,15.325427
372,52173,496,4.833849E-5,6.458439E-5,0,STAR,1237663479257366749,SERENDIPITY_DISTANT,4192,301,4,156,221,19.235632,18.822193,18.998529,19.232407,19.596703,19.2689,18.872919,19.08098,19.271551,20.129198
372,52173,486,-2.964517E-4,2.309975E-4,0,STAR,1237663479257367287,QSO,4192,301,4,156,759,24.447807,22.127197,21.479013,20.283113,19.583982,22.759964,21.912712,20.792946,19.867098,19.514687
1474,52933,514,-1.057137E-4,1.779326E-5,0,STAR,1237663543145988188,NONLEGACY,4207,301,3,171,92,22.397924,19.797525,18.744133,18.384409,18.151724,22.895061,19.907457,18.845713,18.448608,18.242592
372,52173,494,0.124001,2.81943E-5,0,GALAXY,1237663479257301458,GALAXY,4192,301,4,155,466,21.71139,19.585203,18.69693,18.252037,17.839018,20.697786,18.713329,17.667053,17.24555,16.863733
372,52173,493,0.124002,1.861025E-5,0,GALAXY,1237663479257301485,GALAXY,4192,301,4,155,493,21.322954,19.652313,18.843609,18.436512,18.085896,20.235054,18.604498,17.675943,17.260899,16.99161
1474,52933,501,3.75016E-6,2.902537E-5,0,STAR,1237663543145988318,NONLEGACY,4207,301,3,171,222,22.577303,20.116909,19.248808,18.89138,18.671959,22.744972,20.173964,19.286123,18.90287,18.705273
372,52173,491,0.179997,1.516507E-5,0,GALAXY,1237663543145988367,GALAXY,4207,301,3,171,271,21.477543,20.228411,19.455818,19.022268,18.628748,19.226149,18.195951,17.42378,17.026091,16.815252
372,52173,492,0.180572,2.67854E-5,0,GALAXY,1237663543145988405,GALAXY,4207,301,3,171,309,21.28265,19.477249,18.552099,18.202959,17.842688,20.243431,18.719849,17.721561,17.361954,17.059248
1474,52933,517,-1.011943E-3,1.698324E-5,0,STAR,1237663543145988408,NONLEGACY,4207,301,3,171,312,21.50246,19.306618,18.201948,17.718702,17.430592,21.53591,19.398138,18.265934,17.801931,17.508287
1106,52912,519,0.611842,4.747703E-5,0,QSO,1237663543145988505,NONLEGACY,4207,301,3,171,409,20.574966,20.039082,20.062752,19.740604,19.542015,20.650347,20.027004,19.969004,19.502396,19.118748
1032,53175,520,0.179111,4.211472E-5,0,GALAXY,1237663543145988546,NONLEGACY,4207,301,3,171,450,24.41386,20.983122,19.818649,19.356176,18.922255,22.852169,20.348,19.022537,18.603111,18.251751
1106,52912,499,0.124501,2.529275E-5,0,GALAXY,1237663479257301274,NONLEGACY,4192,301,4,155,282,21.451075,19.524872,18.62261,18.163252,17.783592,20.920488,18.392519,17.296247,16.773172,16.668455
