plate,mjd,fiberid,z,zErr,zWarning,class,bestObjID,objType,run,rerun,camCol,field,obj,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1909,53261,275,-1.283879E-4,1.058529E-5,0,STAR,1237663543137206997,NONLEGACY,4207,301,3,37,725,16.829552,15.656754,15.221973,15.125389,14.973914,16.91094,15.715369,15.273289,15.114575,15.044592
981,52435,145,-1.930689E-4,1.232341E-5,0,STAR,1237656568647844880,GALAXY,2583,301,4,47,1040,19.219482,18.150032,17.687668,17.539608,17.450609,19.146851,18.158741,17.619919,17.511078,17.423197
1909,53261,277,-1.465239E-4,1.093326E-5,0,STAR,1237656568647844052,NONLEGACY,2583,301,4,47,212,18.29199,17.216331,16.841454,16.680246,16.626535,18.354698,17.255095,16.878263,16.743771,16.67948
1021,52460,179,0.171077,6.971236E-6,0,GALAXY,1237656568647845477,NONLEGACY,2583,301,4,47,1637,22.047197,20.8887,20.593513,20.398136,19.832418,21.370317,19.651579,19.062878,18.752138,18.423065
1908,53239,280,-2.799458E-5,8.318368E-6,0,STAR,1237663543137207014,NONLEGACY,4207,301,3,37,742,18.793875,17.251904,16.676315,16.512321,16.347757,18.878899,17.307808,16.720922,16.524481,16.432802
1021,52460,177,0.18875,2.359514E-5,0,GALAXY,1237663543137207756,NONLEGACY,4207,301,3,37,1484,21.946909,20.592035,19.767391,19.335781,18.848572,21.077539,19.299677,18.458523,18.029114,17.708878
981,52435,452,-8.178945E-6,9.687607E-6,0,STAR,1237656568647778799,QSO,2583,301,4,46,495,18.571857,17.345694,17.604673,16.728491,16.670509,18.572248,17.383516,17.337063,16.780083,16.744247
1117,52885,164,8.148153E-5,1.195883E-5,0,STAR,1237656568647844822,NONLEGACY,2583,301,4,47,982,22.197165,19.508604,18.074707,17.210831,16.713697,22.227627,19.573683,18.115862,17.277788,16.778797
1908,53239,303,1.783975E-5,7.204577E-6,0,STAR,1237663543137206578,NONLEGACY,4207,301,3,37,306,18.689631,16.530228,15.720617,15.420399,15.273255,18.749735,16.611553,15.780865,15.491417,15.324358
1908,53239,275,-9.080238E-5,8.291941E-6,0,STAR,1237663543137206675,NONLEGACY,4207,301,3,37,403,17.258503,15.512916,14.899699,14.700047,14.603044,17.321846,15.574925,14.955124,14.749179,14.63641
1021,52460,180,-1.261967E-5,3.7406E-5,0,STAR,1237663543137207503,NONLEGACY,4207,301,3,37,1231,20.511244,19.456039,18.99457,18.639656,18.338669,20.500055,19.4925,18.941702,18.446524,18.242027
1117,52885,176,0.420315,9.808961E-5,0,QSO,1237663543137208078,NONLEGACY,4207,301,3,37,1806,21.360155,21.040155,20.576021,20.208876,19.704578,20.809025,20.934509,20.166292,19.639067,19.264685
1909,53261,266,1.783044E-4,2.509782E-5,0,STAR,1237663543137208117,NONLEGACY,4207,301,3,37,1845,21.883482,20.361687,19.675127,19.448816,19.327686,21.856001,20.407862,19.771055,19.521917,19.28367
981,52435,153,-8.602606E-5,3.049967E-5,0,STAR,1237663543137274010,QSO,4207,301,3,38,2202,23.31212,21.02545,19.950754,19.570213,19.295427,24.593668,21.057775,19.98514,19.65704,19.371391
1117,52885,197,-6.084804E-4,2.650789E-5,0,STAR,1237656568647779492,NONLEGACY,2583,301,4,46,1188,21.137758,19.686583,19.188536,19.001743,18.956581,21.495319,19.745501,19.250961,19.122555,18.96093
1021,52460,178,0.188453,2.171059E-5,0,GALAXY,1237656568647779518,NONLEGACY,2583,301,4,46,1214,20.70331,19.203009,18.590004,18.270185,18.040958,20.565624,18.858521,18.112083,17.795494,17.641218
981,52435,477,-1.435733E-4,7.560283E-6,0,STAR,1237656568647779688,QSO,2583,301,4,46,1384,19.457607,17.702255,17.033966,16.804525,16.668987,19.511194,17.747053,17.098835,16.864475,16.732754
1117,52885,199,-9.989654E-5,2.684631E-5,0,STAR,1237656568647779767,NONLEGACY,2583,301,4,46,1463,21.066511,20.376032,19.055948,18.805073,18.627569,21.048933,20.208759,19.099443,18.883163,18.658905
1117,52885,198,-1.261344E-4,2.684527E-5,0,STAR,1237656568647779791,NONLEGACY,2583,301,4,46,1487,21.791607,19.973309,19.213614,18.902308,18.714972,22.104582,20.038662,19.275108,18.973526,18.776926
1117,52885,466,0.835968,5.351677E-4,0,QSO,1237656568647844553,NONLEGACY,2583,301,4,47,713,20.158176,19.911726,19.724918,19.690382,19.318167,20.296976,19.962505,19.760015,19.697252,19.450773
981,52435,472,1.752889,4.883745E-4,0,QSO,1237656568647845083,QSO,2583,301,4,47,1243,19.268618,19.091341,19.068459,18.817631,18.863785,19.276791,19.124165,19.118032,18.904957,18.843548
1909,53261,438,-4.836755E-5,8.661924E-6,0,STAR,1237656568647845139,NONLEGACY,2583,301,4,47,1299,21.071795,19.255604,18.442888,18.04744,17.802946,21.132467,19.33955,18.48213,18.093016,17.852243
1908,53239,400,-1.591035E-4,7.02508E-6,0,STAR,1237656568647909396,NONLEGACY,2583,301,4,48,20,18.054712,16.33226,15.736831,15.529604,15.446698,18.12241,16.370941,15.787034,15.597489,15.525723
1909,53261,303,1.245655E-4,4.640801E-5,0,STAR,1237663543137206396,NONLEGACY,4207,301,3,37,124,23.678837,21.067545,20.123766,19.757515,19.37981,23.885641,21.259983,20.228846,19.836987,19.764029
1021,52460,171,8.477691E-5,9.080167E-6,0,STAR,1237663543137207257,NONLEGACY,4207,301,3,37,985,20.985586,18.977947,18.159967,17.858358,17.717337,21.03076,18.945745,18.051161,17.696125,17.606449
1117,52885,166,-1.754063E-5,1.872403E-5,0,STAR,1237663543137207794,NONLEGACY,4207,301,3,37,1522,20.32074,19.025221,18.449444,18.234657,18.14189,20.438002,19.046991,18.517746,18.292585,18.326544
1909,53261,280,9.099622E-5,1.082006E-5,0,STAR,1237663543137272343,NONLEGACY,4207,301,3,38,535,23.342735,20.338753,18.982971,18.335415,17.924442,23.196846,20.450506,19.043959,18.330717,18.086111
1117,52885,162,-1.626324E-4,2.102277E-5,0,STAR,1237663543137272989,NONLEGACY,4207,301,3,38,1181,21.317175,19.691872,18.941925,18.737719,18.506905,21.368044,19.758129,19.02227,18.777771,18.494759
1908,53239,277,-1.290269E-4,1.043613E-5,0,STAR,1237663543137273151,NONLEGACY,4207,301,3,38,1343,21.460684,18.958422,17.580231,16.938557,16.483744,21.35581,19.049555,17.630278,16.977444,16.586308
981,52435,138,-7.297066E-4,1.633311E-5,0,STAR,1237663543137337482,QSO,4207,301,3,39,138,17.945456,17.062294,16.769077,16.616369,16.566145,18.011379,17.102989,16.806459,16.677408,16.6761
981,52435,152,-5.639135E-5,9.273521E-6,0,STAR,1237656568110973428,GALAXY,2583,301,3,47,500,19.091166,17.653315,17.139259,16.939102,16.861137,19.120148,17.644957,17.172319,16.933678,16.948551
981,52435,413,0.150627,2.602158E-5,0,GALAXY,1237656568647713346,GALAXY,2583,301,4,45,578,22.693407,20.787817,19.478954,19.02025,22.826834,20.901585,19.208466,17.317459,16.822525,25.262146
981,52435,168,0.259433,6.755114E-5,0,GALAXY,1237656568647714423,GALAXY,2583,301,4,45,1655,24.999739,20.86611,19.40143,18.88957,18.394083,21.473469,19.625322,17.8111,17.235437,16.913635
1908,53239,399,-8.544193E-4,1.205796E-5,0,STAR,1237656568647778502,NONLEGACY,2583,301,4,46,198,17.430328,16.442085,16.059023,15.894794,15.821026,17.473465,16.475403,16.114079,15.964435,15.898933
