plate,mjd,fiberid,z,zErr,zWarning,class,bestObjID,objType,run,rerun,camCol,field,obj,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1505,52941,156,0.389562,6.664321E-5,0,GALAXY,1237663784210530517,NONLEGACY,4263,301,4,316,213,23.125439,21.7901,20.101208,19.489414,19.024839,21.797628,20.614769,19.116451,18.525537,18.100412
2851,54485,486,7.946687E-4,1.078649E-5,0,STAR,1237663784210530324,NONLEGACY,4263,301,4,316,20,17.430862,16.606251,16.266584,16.134212,16.120159,17.541275,16.625443,16.326315,16.203777,16.185209
1555,53287,158,0.379204,7.664384E-5,0,GALAXY,1237663784210530536,NONLEGACY,4263,301,4,316,232,23.658684,21.878881,19.953222,19.325336,18.858727,20.516718,20.508654,18.500441,17.840191,17.591818
701,52179,426,0.379125,1.171411E-4,0,GALAXY,1237663784210530623,NONLEGACY,4263,301,4,316,319,24.913301,22.357603,20.705986,19.98439,19.710501,24.590675,20.440012,19.447878,18.827709,18.500956
701,52179,195,0.381811,1.139835E-4,0,GALAXY,1237663784210531294,NONLEGACY,4263,301,4,316,990,24.833059,22.404722,20.614035,20.04829,19.560736,22.215349,20.974915,19.512709,18.837957,18.233456
2866,54478,153,-1.607473E-4,7.703683E-6,0,STAR,1237666407918665860,NONLEGACY,4874,301,3,621,132,19.657169,17.994545,17.302908,17.060852,16.921999,19.705776,18.059645,17.37252,17.100214,17.003139
403,51871,558,0.059286,7.410279E-6,0,GALAXY,1237663784210465053,GALAXY,4263,301,4,315,285,21.232067,20.271379,19.881977,19.751701,19.364622,18.686834,17.567448,17.186626,16.987749,16.785198
2851,54485,485,-1.372409E-5,1.351089E-5,0,STAR,1237663784210530315,NONLEGACY,4263,301,4,316,11,17.82428,16.343632,15.687957,15.402086,15.326946,17.909822,16.38656,15.740924,15.499658,15.405255
701,52179,438,0.059155,1.282308E-5,0,GALAXY,1237663784210530445,NONLEGACY,4263,301,4,316,141,21.852434,20.838217,20.437979,20.19544,20.041479,19.417908,18.212748,17.835524,17.556986,17.523193
1505,52941,517,-4.046634E-5,1.318201E-5,0,STAR,1237663784210530527,NONLEGACY,4263,301,4,316,223,22.863287,20.33387,18.972738,17.700592,16.980509,24.218718,20.378065,19.008532,17.769564,17.056499
2851,54485,482,-6.056162E-5,9.748695E-6,0,STAR,1237666407918665736,NONLEGACY,4874,301,3,621,8,18.09581,17.014076,16.60778,16.457233,16.418915,18.140297,17.058599,16.660368,16.522738,16.478067
1505,52941,153,1.699751E-4,7.485567E-6,0,STAR,1237666407918665798,NONLEGACY,4874,301,3,621,70,18.827795,16.725,15.811328,15.49984,15.301023,18.887482,16.788322,15.893039,15.544402,15.363717
701,52179,196,0.379283,8.047499E-5,0,GALAXY,1237666407918731448,NONLEGACY,4874,301,3,622,184,24.380489,21.818005,20.343845,19.718679,19.343399,21.932732,21.184011,19.400707,18.6945,18.488279
1075,52933,159,9.073495E-5,2.831667E-5,0,STAR,1237666407918731697,NONLEGACY,4874,301,3,622,433,24.636209,21.821615,20.493893,19.067677,18.338011,23.73348,22.014147,20.5618,19.174244,18.420229
403,51871,556,0.388707,4.417335E-5,0,QSO,1237663784210464939,QSO,4263,301,4,315,171,19.222816,19.075743,19.11738,19.059603,18.602787,19.263487,19.008698,18.864666,18.652157,18.306549
403,51871,560,3.276805,1.572853E-4,0,QSO,1237663784210465040,QSO,4263,301,4,315,272,22.190845,19.862783,19.76647,19.800957,19.800468,22.604092,19.921925,19.783081,19.906359,19.858192
1075,52933,169,0.164683,1.207326E-5,0,GALAXY,1237663784210465232,NONLEGACY,4263,301,4,315,464,21.77874,20.924286,20.449327,20.116394,19.872528,21.57889,20.536768,19.975922,19.670509,19.681646
701,52179,431,0.042326,6.446342E-6,0,GALAXY,1237663784210530479,NONLEGACY,4263,301,4,316,175,21.567852,20.495045,20.135391,19.908087,19.595745,19.179594,18.014975,17.701654,17.500292,17.234531
1075,52933,518,0.428198,1.838728E-5,0,GALAXY,1237663784210530603,NONLEGACY,4263,301,4,316,299,21.656183,21.236477,20.721884,20.193645,20.028322,21.398645,21.064411,20.361763,19.811018,19.797396
1555,53287,160,0.147187,7.306483E-6,0,GALAXY,1237663784210530612,NONLEGACY,4263,301,4,316,308,22.553383,21.380697,20.825569,20.553558,20.324657,21.155935,19.255964,18.785543,18.4596,18.108467
1075,52933,517,0.156194,2.229344E-5,0,GALAXY,1237663784210530984,NONLEGACY,4263,301,4,316,680,22.65612,21.223036,20.711498,20.342649,19.989838,21.154915,20.501284,19.892845,19.471422,19.20381
1075,52933,153,0.268304,2.75598E-5,0,GALAXY,1237663784210531363,NONLEGACY,4263,301,4,316,1059,22.613794,21.716263,20.832899,20.466291,19.960152,21.760204,20.555052,19.741636,19.242023,18.872154
403,51871,71,0.079325,1.780586E-5,0,GALAXY,1237663784210595954,GALAXY,4263,301,4,317,114,20.988552,18.943729,18.098995,17.62752,17.27795,19.197193,17.180838,16.353374,15.95669,15.659088
2045,53350,488,-1.288898E-4,1.156203E-5,0,STAR,1237666407918665730,NONLEGACY,4874,301,3,621,2,18.853914,17.840296,17.458443,17.301712,17.280853,18.91869,17.88039,17.497194,17.365599,17.35331
2851,54485,487,5.658161E-4,1.071339E-5,0,STAR,1237666407918665780,NONLEGACY,4874,301,3,621,52,18.312393,17.220133,16.766222,16.580416,16.497768,18.381046,17.277746,16.824421,16.635317,16.548342
700,52199,31,0.081788,6.188993E-6,0,GALAXY,1237666407918665827,NONLEGACY,4874,301,3,621,99,21.484301,20.558392,20.519598,20.413334,20.281965,20.500002,19.798841,19.61764,19.318186,19.70046
1075,52933,162,0.070491,6.728767E-6,0,GALAXY,1237666407918665874,NONLEGACY,4874,301,3,621,146,21.635189,20.903622,21.008783,20.729078,20.570936,19.697071,18.986883,18.686323,18.610889,19.227257
1555,53287,142,0.156838,2.179289E-5,0,GALAXY,1237666407918665959,NONLEGACY,4874,301,3,621,231,22.291742,21.152317,20.505039,20.145557,19.645292,20.819836,19.752441,18.785706,18.531107,18.189701
2866,54478,152,-1.922107E-4,1.528141E-5,0,STAR,1237666407918731366,NONLEGACY,4874,301,3,622,102,19.599876,18.69853,18.314486,18.154594,18.106945,19.680252,18.753685,18.387596,18.239639,18.199013
1555,53287,105,0.157078,3.688069E-5,0,GALAXY,1237666407918731446,NONLEGACY,4874,301,3,622,182,22.539762,20.76853,19.87829,19.449295,19.024021,20.945864,19.685989,18.548246,18.083229,17.818068
2045,53350,491,-9.749464E-4,1.277656E-5,0,STAR,1237663784210464898,NONLEGACY,4263,301,4,315,130,18.272125,17.439627,17.214033,17.087929,17.110764,18.342825,17.476341,17.257374,17.174793,17.14484
2851,54485,490,-3.026978E-5,1.131307E-5,0,STAR,1237663784210464900,NONLEGACY,4263,301,4,315,132,18.45084,17.199734,16.799215,16.552511,16.522718,18.503738,17.216623,16.84626,16.637293,16.573029
1075,52933,166,1.233465E-5,9.233772E-6,0,STAR,1237663784210464996,NONLEGACY,4263,301,4,315,228,20.320471,17.685158,16.27243,15.525702,15.131574,20.294151,17.744972,16.321161,15.591063,15.190896
1075,52933,516,0.109985,1.148973E-5,0,GALAXY,1237663784210465037,NONLEGACY,4263,301,4,315,269,21.537142,20.352327,19.793802,19.561331,19.152605,19.653259,18.584204,18.008049,17.638859,17.457699
2866,54478,478,-6.434315E-4,3.577935E-5,0,STAR,1237663784210465082,NONLEGACY,4263,301,4,315,314,20.83288,19.715631,19.779594,19.960157,20.231741,20.842834,19.741789,19.871002,20.015781,20.021099
403,51871,594,0.022679,8.325555E-6,0,GALAXY,1237663784210530396,GALAXY,4263,301,4,316,92,19.523781,17.619034,16.844301,16.513121,16.140076,16.79154,15.11498,14.35201,13.964221,13.663847
1505,52941,516,-6.117519E-5,1.098164E-5,0,STAR,1237663784210530448,NONLEGACY,4263,301,4,316,144,21.198214,18.846783,17.712139,17.177595,16.963655,21.149279,18.904799,17.75087,17.285221,17.061075
1555,53287,155,0.174716,3.067702E-5,0,GALAXY,1237663784210530452,NONLEGACY,4263,301,4,316,148,22.307444,20.552591,19.403278,18.911737,18.550735,20.861414,19.61775,18.43165,17.944939,17.712639
403,51871,543,0.174795,3.931467E-5,0,GALAXY,1237663784210530470,GALAXY,4263,301,4,316,166,22.05541,20.020605,18.865597,18.372759,18.033979,18.978724,17.733816,16.7773,16.338942,16.030506
1075,52933,514,-1.218306E-6,1.542464E-5,0,STAR,1237663784210530488,NONLEGACY,4263,301,4,316,184,21.8083,19.134327,17.734453,16.550003,15.878898,21.491774,19.185707,17.811699,16.611603,15.962684
403,51871,598,0.220408,1.472219E-5,0,GALAXY,1237663784210530493,QSO,4263,301,4,316,189,20.947769,19.924194,19.290655,18.887764,18.581343,19.837795,18.834637,18.156271,17.761364,17.57785
1075,52933,555,0.268559,8.620706E-6,0,GALAXY,1237663784210530501,NONLEGACY,4263,301,4,316,197,21.511969,20.765614,20.134201,19.852098,19.55352,20.983772,19.777533,19.100473,18.805931,18.587397
1505,52941,515,1.570485E-5,1.768305E-5,0,STAR,1237663784210530532,NONLEGACY,4263,301,4,316,228,23.33724,20.711561,19.292824,18.554499,18.100882,23.275236,20.736179,19.324169,18.61071,18.145018
1075,52933,551,1.284699E-4,3.458256E-5,0,STAR,1237663784210530586,NONLEGACY,4263,301,4,316,282,23.739782,21.788782,20.42977,19.04513,18.242504,22.921005,21.815649,20.507172,19.094557,18.335135
701,52179,434,0.388239,1.329833E-4,0,GALAXY,1237663784210530754,NONLEGACY,4263,301,4,316,450,24.78072,22.499466,20.685184,19.980064,19.648106,27.663076,21.695299,19.695194,19.130484,18.845797
1505,52941,514,3.720024E-5,3.844167E-5,0,STAR,1237663784210530915,NONLEGACY,4263,301,4,316,611,24.215973,21.9249,20.362465,19.08987,18.443941,23.716757,22.148598,20.418316,19.161901,18.605099
2851,54485,520,-6.085963E-5,8.148898E-6,0,STAR,1237663784210595877,NONLEGACY,4263,301,4,317,37,17.378233,16.028326,15.489571,15.294528,15.219691,17.431932,16.084848,15.543816,15.360834,15.287189
2851,54485,511,-1.052308E-4,9.067693E-6,0,STAR,1237663784210595887,NONLEGACY,4263,301,4,317,47,17.810938,16.501335,16.032984,15.881133,15.828604,17.886362,16.546406,16.089359,15.951435,15.910957
701,52179,436,0.393689,8.013201E-5,0,QSO,1237663784210595937,NONLEGACY,4263,301,4,317,97,21.219749,20.786125,20.091963,19.594732,19.135612,21.055607,20.220934,19.36659,18.85132,18.565996
1075,52933,156,1.375342E-4,2.510146E-5,0,STAR,1237663784210596093,NONLEGACY,4263,301,4,317,253,24.033951,21.626825,20.194427,18.7819,18.001848,25.52725,21.652636,20.25367,18.866312,18.108543
1555,53287,119,0.500348,1.922432E-4,0,GALAXY,1237663784210596390,NONLEGACY,4263,301,4,317,550,23.777416,23.177073,21.584551,20.639591,20.334093,24.909962,22.63098,21.157034,20.071289,20.09041
403,51871,115,0.154986,2.997725E-5,0,GALAXY,1237666407918600367,QSO,4874,301,3,620,175,21.606359,19.565802,18.490612,18.097244,17.647366,20.250887,18.295881,17.144499,16.685398,16.281996
1075,52933,165,1.777609E-4,7.714925E-6,0,STAR,1237666407918600394,NONLEGACY,4874,301,3,620,202,19.483969,16.891251,15.691974,15.217977,14.997439,19.483,16.94496,15.76058,15.305009,15.077115
403,51871,120,0.156083,2.767911E-5,0,GALAXY,1237666407918600404,QSO,4874,301,3,620,212,22.231594,19.985096,18.998402,18.662165,18.170692,19.016363,17.76819,16.55715,16.112667,15.77072
403,51871,79,0.155132,2.464248E-5,0,GALAXY,1237666407918665839,QSO,4874,301,3,621,111,21.742289,19.391857,18.441938,18.044857,17.636457,19.45192,17.961531,16.785706,16.33234,15.973644
