plate,mjd,fiberid,z,zErr,zWarning,class,bestObjID,objType,run,rerun,camCol,field,obj,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1030,52914,277,0.145133,2.773046E-5,0,GALAXY,1237663479255138622,NONLEGACY,4192,301,4,122,318,21.877703,20.276499,19.293201,18.848293,18.419544,21.088987,19.21331,18.115036,17.661674,17.335575
1029,52912,32,0.062517,3.109628E-5,0,GALAXY,1237663543143825661,NONLEGACY,4207,301,3,138,253,21.440828,19.613653,18.883781,18.513794,18.174955,21.027382,19.095022,18.242239,17.879526,17.605749
990,52465,233,0.06087,1.470275E-5,0,GALAXY,1237663479255138632,GALAXY,4192,301,4,122,328,20.615215,18.640505,17.834402,17.39599,16.945412,19.058495,17.303415,16.401308,15.993193,15.74795
989,52468,39,0.06126,2.400352E-5,0,GALAXY,1237663479255138658,GALAXY,4192,301,4,122,354,21.06748,19.2558,18.528555,18.157984,17.724649,20.231943,18.158278,17.288187,16.891422,16.535891
990,52465,231,0.062352,1.424769E-5,0,GALAXY,1237663479255138737,GALAXY,4192,301,4,122,433,20.692015,18.667503,17.804779,17.355946,16.782104,18.647791,16.908134,15.946651,15.459016,15.100423
1152,52941,476,-7.519072E-4,7.391169E-5,0,STAR,1237663479255138902,NONLEGACY,4192,301,4,122,598,21.318129,20.337196,19.89077,19.76997,19.652189,21.746597,20.402866,19.976419,19.878881,19.747787
1152,52941,475,-4.804875E-4,3.440576E-5,0,STAR,1237663479255073186,NONLEGACY,4192,301,4,121,418,20.618553,19.577051,19.205616,19.142834,18.997114,20.774151,19.639191,19.285717,19.180706,19.124624
1108,53227,277,2.270512E-4,8.462654E-6,0,STAR,1237663479255073195,NONLEGACY,4192,301,4,121,427,20.091633,18.189369,17.534241,17.289385,17.141483,20.275267,18.251144,17.604601,17.35433,17.228016
1152,52941,499,-3.152084E-4,9.695269E-6,0,STAR,1237663479255138770,NONLEGACY,4192,301,4,122,466,19.833672,18.388449,17.82872,17.657932,17.536287,19.941948,18.434343,17.887028,17.724195,17.589361
1029,52912,39,0.184662,2.592067E-5,0,GALAXY,1237663479255138823,NONLEGACY,4192,301,4,122,519,21.650726,20.489237,19.468584,18.957701,18.505852,20.235558,18.875895,17.938095,17.521484,17.132679
1030,52914,425,0.228421,1.63917E-5,0,GALAXY,1237663479255138907,NONLEGACY,4192,301,4,122,603,22.128202,21.90933,21.398556,21.184574,21.049526,20.463118,20.436363,19.483881,19.472406,19.249046
1152,52941,479,7.043451E-5,1.082783E-4,0,STAR,1237663479255138942,NONLEGACY,4192,301,4,122,638,21.019966,20.321386,19.990608,19.916527,19.736513,21.143711,20.341896,20.05184,19.956627,19.959917
1152,52941,172,-2.250086E-5,1.135624E-5,0,STAR,1237663543143760306,NONLEGACY,4207,301,3,137,434,19.351946,18.241512,17.865681,17.706881,17.653748,19.43891,18.305485,17.912817,17.792168,17.732109
990,52465,235,0.061407,6.812101E-6,0,GALAXY,1237663543143760321,GALAXY,4207,301,3,137,449,20.45784,19.628717,19.455633,19.02935,18.600508,19.387711,18.348188,17.79734,17.390863,17.321293
1152,52941,480,7.684247E-5,3.34011E-5,0,STAR,1237663479255073112,NONLEGACY,4192,301,4,121,344,20.390738,19.533215,19.216248,19.109709,19.032635,20.596443,19.585794,19.270407,19.156328,19.21546
1152,52941,462,-8.167512E-4,9.754521E-5,0,STAR,1237663479255073370,NONLEGACY,4192,301,4,121,602,21.353283,20.378279,20.058182,20.005964,20.299152,21.001328,20.350595,19.989243,19.985619,19.803221
1152,52941,465,5.690972E-4,1.275037E-5,0,STAR,1237663479255073372,NONLEGACY,4192,301,4,121,604,21.739326,20.657253,20.376163,20.246857,20.086424,21.832064,20.768196,20.532431,20.348969,20.134016
1152,52941,477,-1.220192E-3,3.174251E-5,0,STAR,1237663479255138399,NONLEGACY,4192,301,4,122,95,20.515676,19.575153,19.244476,19.114206,19.173508,20.154539,19.33408,18.592398,18.032007,19.887299
1152,52941,496,-6.914935E-6,9.317463E-5,0,STAR,1237663479255138969,NONLEGACY,4192,301,4,122,665,21.09487,20.434223,20.113392,20.040598,20.015194,21.143612,20.515526,20.19754,20.067825,20.20826
1152,52941,493,-4.772868E-5,9.910008E-6,0,STAR,1237663479255203851,NONLEGACY,4192,301,4,123,11,19.764902,18.464016,17.942846,17.769133,17.676262,19.913731,18.534927,18.01984,17.829359,17.781906
1152,52941,483,-4.573294E-4,2.058574E-5,0,STAR,1237663479255204145,NONLEGACY,4192,301,4,123,305,19.186905,18.26285,17.957069,17.870407,17.831932,19.207132,18.311102,18.035709,17.914516,17.926062
1152,52941,175,-1.835359E-4,8.274616E-6,0,STAR,1237663479255204149,NONLEGACY,4192,301,4,123,309,20.111374,18.324442,17.660065,17.405952,17.26955,20.120567,18.394333,17.715448,17.462151,17.335926
989,52468,40,-7.814498E-5,1.55291E-5,0,STAR,1237663479255204243,QSO,4192,301,4,123,403,22.548914,19.86874,18.395769,17.692226,17.237751,21.682512,19.953617,18.483917,17.738386,17.324228
1029,52912,79,0.148013,3.142031E-5,0,GALAXY,1237663543143759941,NONLEGACY,4207,301,3,137,69,21.792515,19.693411,18.807596,18.468405,18.146168,22.081913,19.720354,18.561792,18.252731,18.074097
990,52465,234,0.061199,2.449703E-5,0,GALAXY,1237663543143760283,GALAXY,4207,301,3,137,411,20.745831,19.084591,18.357454,17.950901,17.552402,19.752844,18.170134,17.31481,16.913801,16.586447
990,52465,222,0.067915,1.96181E-5,0,GALAXY,1237663543143760288,GALAXY,4207,301,3,137,416,21.423491,19.461012,18.730862,18.226366,17.679625,18.434376,17.309727,16.381613,15.90668,15.532069
1152,52941,165,-1.266558E-3,5.238554E-5,0,STAR,1237663543143825637,NONLEGACY,4207,301,3,138,229,21.103928,20.201845,19.87244,19.705135,19.580057,21.24563,20.292944,19.919706,19.86623,19.62052
1108,53227,279,-1.622492E-4,1.571879E-5,0,STAR,1237663543143825852,NONLEGACY,4207,301,3,138,444,22.724497,20.492836,19.103205,18.034378,17.465321,22.669529,20.55862,19.172899,18.124512,17.526596
1152,52941,174,2.176764,3.626422E-4,0,QSO,1237663543143825959,NONLEGACY,4207,301,3,138,551,21.141932,20.659565,20.652075,20.507807,19.98543,21.110338,20.722841,20.797709,20.628496,20.039066
989,52468,25,0.067929,1.69587E-5,0,GALAXY,1237656237398098337,GALAXY,2506,301,3,41,417,21.047777,19.295382,18.29747,17.789278,17.415182,18.409037,16.835825,15.993772,15.543395,15.248823
990,52465,280,0.148068,2.624554E-5,0,GALAXY,1237663479255072872,GALAXY,4192,301,4,121,104,21.409042,19.307568,18.3417,17.854372,17.362879,20.169056,17.810589,16.685511,16.205648,15.883868
990,52465,264,0.051647,2.052134E-5,0,GALAXY,1237663479255073081,GALAXY,4192,301,4,121,313,21.6422,20.331169,19.899332,19.550322,19.199804,19.72378,18.147747,17.487698,17.157272,16.980156
1030,52914,388,0.063123,6.48907E-6,0,GALAXY,1237663479255073181,NONLEGACY,4192,301,4,121,413,20.482334,19.561026,19.413822,19.160818,18.971302,20.056381,18.801004,18.375051,18.158709,18.029701
990,52465,389,0.0634,7.488739E-6,0,GALAXY,1237663479255073182,GALAXY,4192,301,4,121,414,20.89942,19.715649,19.392925,19.014545,18.65675,20.060032,18.385775,17.678036,17.301878,17.025261
990,52465,422,1.005676E-4,1.010671E-5,0,STAR,1237663479255138472,GALAXY,4192,301,4,122,168,16.365589,15.001405,14.518287,17.002352,14.259807,16.408356,15.067773,14.572085,15.911921,14.329061
1030,52914,422,0.147073,6.095405E-6,0,GALAXY,1237663479255138535,NONLEGACY,4192,301,4,122,231,20.917416,20.239832,19.99287,19.677633,19.481209,20.874075,19.828173,19.389116,18.982576,19.061802
990,52465,399,0.167604,3.360626E-5,0,GALAXY,1237663479255138547,GALAXY,4192,301,4,122,243,22.065796,19.834812,18.69113,18.194738,17.70879,20.854725,18.768585,17.551304,17.050451,16.676746
1152,52941,488,-2.00254E-4,1.008835E-5,0,STAR,1237663479255203969,NONLEGACY,4192,301,4,123,129,18.736155,17.499744,17.062044,16.872196,16.780104,18.779875,17.554596,17.10874,16.926929,16.86235
990,52465,434,0.128215,3.025261E-5,0,GALAXY,1237663479255204117,GALAXY,4192,301,4,123,277,21.413767,19.644541,18.729233,18.344528,17.836885,20.068562,18.316147,17.262863,16.86228,16.61083
1029,52912,637,0.128536,3.435268E-5,0,GALAXY,1237663479255204127,NONLEGACY,4192,301,4,123,287,21.721199,20.040222,19.192469,18.817347,18.404884,21.387819,18.723639,17.854267,17.491018,17.044479
990,52465,436,0.13726,2.706337E-5,0,GALAXY,1237663479255204137,GALAXY,4192,301,4,123,297,21.618824,19.657223,18.689276,18.337252,17.841923,19.770359,18.024006,16.926403,16.461557,16.265518
989,52468,636,0.137794,3.263383E-5,0,GALAXY,1237663479255204186,GALAXY,4192,301,4,123,346,22.087198,19.976685,18.948421,18.519142,17.982117,20.554186,18.817373,17.679626,17.247023,16.808123
1029,52912,629,0.12773,2.398503E-5,0,GALAXY,1237663479255204206,NONLEGACY,4192,301,4,123,366,22.389502,20.544174,19.816437,19.464668,18.988356,20.371719,18.640093,17.927828,17.646948,17.415731
1030,52914,439,0.1383,2.432511E-5,0,GALAXY,1237663479255204238,NONLEGACY,4192,301,4,123,398,21.928797,19.882023,18.89447,18.474699,18.006639,22.494257,19.091526,17.964619,17.49835,17.076881
990,52465,433,0.050791,1.486751E-5,0,GALAXY,1237663479255204256,GALAXY,4192,301,4,123,416,21.217918,19.691473,19.283533,19.028881,18.621597,19.968655,18.46125,17.747766,17.402445,17.188156
1152,52941,497,-9.719041E-4,7.417993E-5,0,STAR,1237663479255204574,NONLEGACY,4192,301,4,123,734,21.864855,20.598209,20.226397,20.14455,19.99353,22.489086,20.441553,20.124058,20.000645,19.84269
1152,52941,161,-4.15564E-4,3.081783E-5,0,STAR,1237663543143760038,NONLEGACY,4207,301,3,137,166,20.259068,19.234827,18.90312,18.807369,18.752106,20.143785,19.234764,18.913061,18.725281,18.609541
989,52468,26,-2.7663E-4,2.742899E-5,0,STAR,1237663543143760066,QSO,4207,301,3,137,194,17.332748,17.28661,17.32419,17.344461,17.35211,17.390354,17.323063,17.377527,17.412252,17.421837
990,52465,238,0.136556,4.020844E-5,0,QSO,1237663543143760207,QSO,4207,301,3,137,335,19.597269,19.128483,18.763847,18.38711,18.194344,19.494108,18.695782,18.065872,17.620569,17.43609
1152,52941,171,-1.166911E-5,1.113107E-5,0,STAR,1237663543143760242,NONLEGACY,4207,301,3,137,370,19.551521,18.25778,17.742498,17.498558,17.50033,19.662643,18.309481,17.807911,17.532064,17.580984
